----------追踪目标日志----------
以下为各列数值含义：
帧数  目标ID  目标类别  x1, y1, x2, y2 (方框左上角以及右下角)
3  1  person  849, 145, 864, 175
3  2  person  0, 164, 8, 197
3  3  person  112, 177, 124, 216
3  4  car  43, 222, 124, 272
3  5  car  718, 256, 822, 320
3  6  car  634, 158, 690, 190
3  7  car  490, 124, 528, 150
3  8  car  296, 118, 334, 143
3  9  car  416, 168, 460, 205
3  10  car  888, 177, 944, 214
3  11  car  227, 122, 257, 147
3  12  car  588, 117, 632, 144
3  13  car  428, 140, 469, 170
3  14  car  556, 127, 592, 153
3  15  car  537, 108, 563, 130
3  16  car  396, 70, 417, 86
3  17  car  406, 82, 427, 100
3  19  bus  65, 286, 332, 539
3  20  truck  406, 204, 483, 328
4  1  person  848, 145, 864, 175
4  2  person  0, 164, 8, 197
4  3  person  112, 177, 125, 216
4  4  car  38, 224, 119, 274
4  5  car  716, 255, 815, 315
4  6  car  632, 157, 688, 189
4  7  car  490, 124, 528, 149
4  8  car  294, 119, 333, 144
4  9  car  416, 168, 461, 206
4  10  car  887, 176, 943, 213
4  11  car  226, 121, 257, 147
4  12  car  587, 116, 631, 143
4  13  car  428, 141, 470, 172
4  14  car  556, 127, 590, 152
4  15  car  539, 111, 561, 129
4  16  car  396, 70, 416, 86
4  17  car  406, 83, 426, 100
4  19  bus  47, 287, 315, 539
4  20  truck  403, 205, 481, 330
4  21  car  899, 131, 937, 158
5  1  person  847, 145, 862, 174
5  3  person  112, 177, 125, 216
5  4  car  32, 226, 115, 277
5  5  car  713, 252, 808, 310
5  6  car  630, 155, 686, 187
5  7  car  490, 123, 527, 148
5  8  car  292, 119, 332, 145
5  9  car  416, 169, 461, 207
5  10  car  887, 175, 941, 212
5  11  car  226, 121, 257, 147
5  12  car  586, 115, 630, 142
5  13  car  429, 142, 471, 173
5  14  car  555, 126, 589, 151
5  15  car  539, 112, 559, 128
5  16  car  395, 70, 416, 87
5  17  car  406, 83, 426, 101
5  19  bus  45, 290, 312, 539
5  20  car  402, 207, 480, 332
5  21  car  899, 131, 937, 158
6  1  person  846, 144, 861, 173
6  2  person  0, 164, 9, 198
6  3  person  113, 177, 125, 216
6  4  car  26, 227, 111, 280
6  5  car  709, 249, 803, 306
6  6  car  629, 154, 684, 186
6  7  car  489, 123, 526, 147
6  8  car  291, 120, 331, 145
6  9  car  417, 169, 462, 207
6  10  car  885, 174, 941, 211
6  11  car  226, 121, 257, 147
6  12  car  585, 114, 629, 141
6  13  car  429, 142, 472, 173
6  14  car  553, 124, 588, 149
6  15  car  536, 106, 562, 127
6  16  car  395, 70, 415, 87
6  17  car  405, 84, 425, 101
6  19  bus  35, 289, 306, 539
6  20  truck  401, 208, 480, 333
6  21  car  899, 131, 937, 158
6  23  car  944, 294, 955, 331
7  1  person  846, 144, 861, 173
7  2  person  1, 165, 10, 198
7  3  person  113, 176, 125, 215
7  4  car  20, 230, 106, 282
7  5  car  706, 246, 797, 302
7  6  car  628, 153, 683, 184
7  7  car  488, 122, 525, 146
7  8  car  288, 120, 330, 146
7  9  car  417, 170, 462, 208
7  10  car  884, 173, 939, 210
7  11  car  226, 122, 256, 148
7  12  car  583, 113, 627, 141
7  13  car  430, 143, 473, 174
7  14  car  552, 123, 587, 149
7  15  car  535, 104, 563, 126
7  16  car  394, 70, 415, 87
7  17  car  405, 84, 424, 101
7  19  bus  33, 294, 303, 539
7  20  truck  399, 209, 479, 335
7  21  car  900, 132, 936, 158
7  23  car  941, 292, 953, 331
8  3  person  113, 176, 125, 215
8  4  car  14, 232, 101, 285
8  5  car  702, 242, 794, 298
8  6  car  626, 152, 680, 183
8  7  car  487, 121, 524, 145
8  8  car  287, 120, 328, 147
8  9  car  417, 171, 462, 208
8  10  car  882, 172, 938, 209
8  11  car  226, 122, 256, 148
8  12  car  583, 113, 626, 140
8  13  car  431, 143, 473, 175
8  14  car  550, 122, 586, 148
8  15  car  534, 103, 562, 125
8  16  car  393, 70, 414, 88
8  17  car  404, 85, 424, 101
8  19  bus  30, 297, 300, 539
8  20  truck  399, 210, 480, 338
8  21  car  900, 132, 937, 158
8  23  car  937, 288, 952, 330
9  1  person  843, 143, 858, 172
9  3  person  113, 176, 125, 215
9  4  car  9, 234, 96, 287
