----------追踪目标日志----------
以下为各列数值含义：
帧数  目标ID  目标类别  x1, y1, x2, y2 (方框左上角以及右下角)
542  1  person  1192, 398, 1218, 446
542  2  car  100, 762, 356, 974
542  3  car  903, 753, 1070, 910
542  4  car  1542, 967, 1964, 1079
542  5  car  880, 430, 936, 472
542  6  car  947, 450, 1020, 507
542  7  car  985, 504, 1085, 596
542  8  car  863, 395, 906, 428
542  9  car  863, 356, 900, 382
542  10  car  926, 388, 974, 419
542  11  car  672, 360, 714, 387
542  12  car  836, 509, 958, 580
542  13  car  778, 370, 815, 399
542  14  bus  1005, 343, 1082, 414
542  15  bus  585, 383, 655, 468
542  18  car  663, 489, 745, 562
543  1  person  1192, 397, 1218, 446
543  2  car  83, 772, 346, 990
543  3  car  901, 747, 1067, 904
543  4  car  1502, 949, 1986, 1079
543  5  car  879, 429, 936, 471
543  6  car  947, 449, 1019, 506
543  7  car  986, 502, 1085, 595
543  8  car  863, 395, 906, 428
543  9  car  863, 355, 900, 381
543  10  car  925, 386, 975, 419
543  11  car  672, 360, 714, 388
543  12  car  836, 506, 958, 578
543  13  car  780, 371, 816, 400
543  14  bus  1005, 343, 1081, 414
543  15  bus  583, 384, 653, 470
543  18  truck  660, 492, 743, 567
543  19  car  809, 348, 849, 374
544  1  person  1192, 397, 1218, 445
544  2  car  66, 783, 334, 1005
544  3  car  900, 741, 1067, 898
544  4  car  1459, 931, 2005, 1079
544  5  car  878, 428, 936, 471
544  6  car  947, 449, 1019, 505
544  7  car  989, 513, 1075, 593
544  8  car  863, 394, 906, 428
544  9  car  863, 355, 900, 381
544  10  car  924, 385, 975, 419
544  11  car  671, 360, 714, 388
544  12  car  836, 504, 956, 576
544  13  car  781, 372, 817, 400
544  14  bus  1006, 344, 1080, 413
544  15  bus  582, 385, 652, 470
545  1  person  1191, 396, 1218, 445
545  2  car  48, 794, 325, 1023
545  3  car  897, 733, 1063, 889
545  4  car  1416, 913, 2011, 1079
545  5  car  878, 427, 935, 469
545  6  car  948, 449, 1017, 504
545  7  car  982, 503, 1075, 590
545  8  car  864, 394, 906, 427
545  9  car  862, 353, 900, 380
545  10  car  925, 387, 972, 418
545  11  car  669, 361, 712, 389
545  12  car  838, 503, 955, 574
545  13  car  781, 372, 818, 401
545  14  bus  1004, 342, 1077, 411
545  15  bus  580, 386, 651, 471
545  18  car  656, 499, 741, 575
545  20  bus  572, 320, 632, 371
546  1  person  1191, 396, 1218, 445
546  2  car  29, 805, 313, 1040
546  3  car  897, 728, 1058, 879
546  4  car  1377, 897, 2012, 1079
546  5  car  878, 427, 934, 468
546  6  car  949, 450, 1017, 503
546  7  car  980, 500, 1074, 587
546  8  car  863, 393, 906, 427
546  9  car  862, 353, 900, 380
546  10  car  924, 387, 971, 418
546  11  car  668, 361, 711, 390
546  12  car  853, 517, 943, 572
546  13  car  781, 372, 819, 402
546  14  bus  1003, 342, 1075, 410
546  15  bus  579, 387, 650, 473
546  18  car  654, 503, 739, 579
546  19  car  809, 350, 848, 375
546  20  bus  572, 320, 632, 372
546  21  car  974, 353, 1006, 374
547  1  person  1191, 396, 1218, 446
547  2  car  5, 816, 303, 1062
547  3  car  900, 725, 1056, 871
547  4  car  1339, 881, 2007, 1079
547  5  car  879, 426, 933, 467
547  6  car  949, 448, 1017, 501
547  7  car  980, 498, 1073, 586
547  8  car  864, 393, 906, 425
547  9  car  862, 353, 900, 380
547  10  car  922, 385, 972, 418
547  11  car  667, 363, 711, 391
547  12  car  845, 505, 950, 570
547  13  car  781, 373, 819, 403
547  14  bus  1003, 341, 1075, 409
547  15  bus  578, 387, 650, 474
547  18  car  651, 506, 738, 584
547  19  car  809, 350, 848, 376
547  20  bus  571, 320, 632, 372
547  21  car  974, 353, 1006, 374
548  1  person  1191, 396, 1218, 445
548  2  car  -6, 829, 293, 1078
548  3  car  899, 721, 1051, 862
548  4  car  1308, 865, 1999, 1079
548  5  car  879, 425, 933, 466
548  6  car  949, 446, 1018, 499
548  7  car  979, 496, 1072, 584
548  8  car  864, 393, 905, 424
548  9  car  862, 352, 899, 379
548  10  car  921, 383, 972, 418
548  11  car  666, 363, 710, 392
548  12  car  843, 501, 950, 568
548  13  car  781, 373, 819, 403
548  14  bus  1003, 341, 1074, 409
548  15  bus  576, 388, 649, 476
548  18  car  650, 510, 739, 589
548  19  car  809, 351, 847, 376
548  20  bus  571, 320, 632, 372
549  1  person  1191, 396, 1218, 446
549  2  car  -10, 842, 280, 1084
549  3  car  899, 716, 1049, 856
549  4  car  1295, 850, 1973, 1069
549  5  car  879, 425, 933, 465
